Account Name,Tweet,Date,No. of Replies,No. of Likes,No. of Retweets
Outspoken,"Mark Cuban, Reid Hoffman, Reed Hastings and other prominent entrepreneurs are launching “Business Leaders for Harris” with outreach to the traditionally right-leaning business community — to win over independent and conservative voters suspicious of Trump.",Oct-04,127,4.5K,419
Armand Hamouth,I’m a passionate creative & I love easy. There are so many talented good people on my timeline I feel privileged. Luckily these same people are 100% supportive of the Harris/Walz ticket.,Oct-05,15,1.6K,71
Shawn In Harrisona,"The Kamala Harris campaign believes in Arizona. Up by two points and they’re tripling down to bring home the win. The energy here is palpable and insurmountable. 30 days to go fucking go, let’s get it!",Oct-05,143,8.7K,780
Dannie D,Breaking: VP Harris called Trump a loser in front of the world. ALL CAPS MELTDOWN IN 3.2.1...,Oct-04,8,2.3K,339
Sam,"There are three people doing the most for hurricane Helene victims right now: Elon Musk, Donald Trump, Ron DeSantis. FEMA, Biden, and Harris aren’t doing fuck all to help.",Oct-04,36,8.2K,555
Todd Christopher,"“Is Kamala Harris playing it too safe” segment is up next on MSNBC. Let me just say this, KAMALA HARRIS is the only one that has broke Trump. She put that man in his place. While a lot of y’all still out here with kid gloves.",Oct-05,5,1.8K,143
Woman In The Moon,"Every President, no matter Republican or Democrat, should come to the aid of their fellow Americans. Biden and Harris did, Trump did not. Don’t give him another chance.",Oct-06,7,11K,166
Jaybefaunt,If we consider it illegal and immoral to commit Murder-For-Hire then what do you say about Genocide-For-Hire? The Biden-Harris administration and the Democratic party at large are complicit in Genocide-For-Hire. Do you really want people like that running our government?,Oct-05,1,6.8K,401
Scoota Harris,Tmrw night game better be loud as hell!,Oct-04,8,7K,223
Molly Binetti,TY HARRIS,Oct-06,6,1.2K,49
Beth,"Please, someone explain the thinking behind Biden and Harris being responsible for world-wide inflation, which is ridiculous, but not being responsible for the dramatic drop in the U.S. inflation rate and the red-hot economy. Republicans are PISSED at how good things are.",Oct-05,10,745,104
Darrell Craig Harris Pro Bassist,"Several bands/tribute shows are telling me that after having their @facebook @meta pages for several years they are randomly being taken down! These are their business pages which play a large role for the bands and their fans, shame on Meta for doing this without any warning or...",Oct-05,14,2.2K,115
Unnecessary Bluntness Owner/Coach/Q,Charles Harris heard the noise.,Oct-06,3,1.3K,48
Hollie Harris,"There are kids who play soccer, and there are kids who get their foot tangled in the soccer net. I’m not sharing which type of kid mine is.",Oct-06,6,1.5K,14
Councilman Tony Heyl,"The Call Me Daddy podcast with @KamalaHarris is very, very good. I like Kamala Harris more each week. She is the kind of person who I want to see as President, and I look forward to my sons joining me to vote for her.",Oct-06,7,14K,191
MAG1775,"Kamala Harris and Joe Biden should be charged with treason for their reckless and intentional refusal to secure our southern border. By keeping it wide open, they’ve turned a blind eye to the flood of deadly drugs, violent criminals, and potential terrorists pouring into our...",Oct-06,8,410,25
AmericanWoman,"Good Morning 👋 to everyone that knows Harris and Obiden are lying scumbags who deserve to be in prison for life! Along with the Clintons, Obama’s, Bush’s, et al.",Oct-05,19,1.1K,117
Greg Swaim Show,"I get a kick out of these Harris commercials saying what she’ll do, even though she hasn’t in her four years. 😂",Oct-05,3,3.3K,46
Reagan Harris,Get Robinson in Stillwater. Even if it has to be head of the table. I’m just unbelievably done.,Oct-05,3,4.1K,18
Scott Smialkowski,Can you believe that the Kamala Harris administration has raised over 690 million dollars? That is more than double what Trump has raised. Where is all that money coming from?,Oct-05,19,584,21
Heather Gardner,"The amount of people who need to retake civics class is astounding. No, Harris couldn’t have “fixed America,” the VP does not have a lot of power. No, the president can’t take money from the military and give it to hurricane victims. No, FEMA can’t rebuild your house.",Oct-06,58,3.7K,203
Surveillance Van Damme,"Fun fact: We have Mark Hamill, Jeri Ryan, Bruce Springsteen, Taylor Swift, tons of other celebrities, Dem AND Republican lawmakers and ex-presidents endorsing Kamala Harris. Trump’s own ex VP, too. And Donnie’s own sister hates him.",Oct-05,22,2.9K,88
Sasha Monet41,The Polls are not tied. They are lying to protect Harris and get donations for her.,Oct-06,5,499,41
beneviento,Broke to Broke: use that cracked spotify,Oct-06,6,71K,240
BENZO-KASPOOKIE,Every “white dude for Harris” looks exactly like a white dude who’d vote for Harris.,Oct-05,3,758,69
Anatomy of a Fighter,Mike Valle has two champions now 🔥🔥🔥 @VenezuelanVixen and @bullyb170 #UFC307,Oct-06,16,2.1K,14
Wisconsin’s Conservative Sponge,"Another day, another set of Harris signs up in Waukesha. Completely demoralizing.",Oct-05,38,3.7K,41
Tired of being politically correct,"It tells you everything you need to know about Kamala Harris when people are literally sleeping in dirt in the cold without clothes, a home, food, water, baby formula or medicine and she’s doing comedy specials.",Oct-06,8,3.7K,56
Anatomy of a Fighter,Wasn’t @MerabDvalishvili in Georgia like eight hours ago 🤣 #UFC307,Oct-05,2,2.1K,23
Lauren Baratz Logsted,"Call Her Daddy is a real thing, a popular thing, and Kamala Harris will be interviewed on it. NC State Police is not a real thing, it’s something Trump Republicans made up to confuse voters, just like all their lies mean to, whether about Haitian immigrants or hurricane relief.",Oct-05,37,4.8K,43
Bob Harris,Next up... @jac3600 joins @md101xxl and myself to talk #AllThingsDailyFantasyFootball #CheapRBs #SeahawkPassingAttack #PackersPassCatchers... FootballDiehards on @SiriusXMNFL & @SiriusXMFantasy now.,Oct-05,2,2.5K,8
Justin The Patriot,I wonder how much money the biggest left wing “influencers” get paid by Kamala Harris via Soros. There’s definitely a paper trail somewhere!,Oct-06,2,285,24
The Devil's Architect,"Ladies & Gentlemen of the Oklahoma GOP Legislature: It is long past time for you as the duly elected officers of the Oklahoma Legislature to either set forth Articles of Impeachment for State Superintendent of Schools Ryan Walters, or resign your posts",Oct-04,25,36K,2.1K
Sasha Monet41,I feel like they cannot cheat now Harris is unlikable and fake You cannot fix that Even Obama and Oprah cannot fix that,Oct-05,9,359,37
Reginald Edwards,Is VP Harris looking Presidential? Absolutely. Is she ready on day one to become the Commander in Chief on day one? Without question. 31 days until this becomes a reality,Oct-05,9,1.8K,157
Larry Wilcox,"The PACT OF THE FUTURE by the United Nations & W.H.O. means a global Tax, a biometric I.D. & elimination of all countries weaponization so the world can become GLOBAL CITIZENS. Biden and Harris... did they inform you of this? Don’t you just love the old word, TRUST?",Oct-06,21,1.2K,70
Tim,I do not have confidence that Harris will win in November.,Oct-06,66,5.2K,74
Brian Eskow,"If you think Trump is Hitler, it makes sense that you would vote for Kamala Harris. If you don’t, there aren’t many good reasons to vote for her. That’s just my two cents.",Oct-06,40,3.1K,229
Sheena Quick,"On 3rd down, Charles Harris sacks Caleb Williams. 3-and-outs by both teams to start the game.",Oct-06,50,5.1K,14
Mark Mitchell,"If NC actually goes to Harris, and it winds up giving her a path to victory... I can’t even imagine what would happen.",Oct-05,317,177K,3.7K
J.D. Landis,"In the privacy of wherever/however she votes (if she has privacy), Melania Trump will probably vote for Kamala Harris. If she were to say she will, do you think that would make a difference in the election? Would you hope that she might say that and do that?",Oct-05,4,3.9K,10
Kentucky Fried Electrician For Harris,Is it cultural appropriation if I start calling Trump a “treasonous cunt”? I’d hate to piss off the Irish?,Oct-05,95,950,81
Nerzog,"The Firefighters Union won’t endorse Harris, even though they endorsed Biden. They also didn’t endorse Hillary. Am I detecting a pattern here?",Oct-05,92,730,50
Grxit,"It’s funny living in a conservative county and seeing the only political sign being for Harris/Walz, and then watching throughout the week as all their neighbors around them start putting out Trump flags and signs.",Oct-04,31,2.7K,131
Chileman,"Harris team so smart. She’s hitting all of the biggest viewed shows, podcasts right before early voting. It’s so smart. And, the Univision Town Hall is so critical. It’s a great move.",Oct-06,22,1.6K,122
Eva McKend,"With 4 weeks until Election Day, VP Harris will make her case in a series of high-profile interviews in effort to reach target voters. Voters will see Harris on The View, Howard Stern, Stephen Colbert, the Univision Town Hall, 60 Minutes and the Call Her Daddy Podcast.",Oct-06,84,2.7K,1.1K
Gina,Trump supporters WANT voter ID and proof of citizenship. Harris supporters don’t. Not sure why we make it so complicated.,Oct-05,12,591,43
Tired of being politically correct,"The state of our union is not good. People are missing in North Carolina, some have lost loved ones, many do not have homes nor electricity and Kamala Harris is going on comedy shows and doing a podcast famous for discussing B-Jobs.",Oct-06,13,244,11
Beneviento,Central Cee when he really raps for real >>,Oct-06,1,399,10
Victoria Sullivan,I have been watching some of what is happening in North Carolina as survivors’ stories are coming out. Some of the responses by government are very troubling. American citizens have not been the priority of the Biden/Harris administration but nothing shows that more clearly...,Oct-05,4,659,18
CHRIS' WORLD,Kamala Harris will take away our right to bare arms... Why though?,Oct-06,109,9.3K,200
Steppin-Wolf,"The Biden/Harris administration are doing their best to show the world they don’t give af about the American people, especially Black people and yet they’re at the top of the hill screaming Vote blue! Smh can’t make this shit up",Oct-06,10,92,119
Drake Harris,In Tuttle we trust?,Oct-04,11,4.5K,198
Fatima Guzman,Harris’s IQ Has to be below 60....,Oct-06,2,471,18
Amanda,Kamala Harris going on call her daddy is the entire reason why women should not be our president.,Oct-05,13,9.4K,171
Pedro Santana Jr,Anyone voting for Kamala Harris is a moron and should revoke their citizenship since they hate America so much!,Oct-06,2,341,31
Brad Logan,Ole Miss WR Tre Harris continues to ride the stationary bike after coming off the field with a lower right leg injury. Jaxson Dart just walked over to check on him.,Oct-05,5,10K,94
Julie Donuts,Kamala Harris has not one single accomplishment as VP. Literally nothing. I’d like to hear from any Kamala supporter. WHAT HAS SHE DONE?,Oct-06,9,2.3K,121
Aes,"If Harris wins, I pray for her to be safe. Fuck Elon Musk.",Oct-05,42,19K,2.4K
Alandise Harris,Little do y’all know we (RAZORBACKS) taking down Tennessee for the upset today by 3!!! Remember the tweet,Oct-05,29,1.6K,650
Michele Tafoya,"“The botched plea deal with Khalid Sheikh Mohammed and other 9/11 terrorists is a signature Biden-Harris administration moment: a scheme, apparently double-wrapped in incompetence, to spare the Democrats’ presidential candidate — first the senescent one, then the vacuous one—",Oct-05,7,4.9K,119
Brian Eskow,Harris on Stern? You bet your ass I’ll be tuned in for that.,Oct-06,44,8.2K,6
Doreen Linder,"I can’t believe that after this tragedy, people cannot see the incompetence of our leadership and still vote for Kamala Harris. There is a devastating loss of life which the government won’t even talk about. People have been washed away. Everything is being done locally.",Oct-05,117,3.6K,236
Brian Eskow,"I don’t consider myself part of the MAGA movement. Perhaps, in time, I will. I just think it makes more sense to vote for Trump than Harris.",Oct-05,40,5.5K,427
Peter Rex,"“Oh boy, I can’t wait to vote for Kamala Harris.” Gets raped",Oct-04,18,5.5K,529
Sierra,Would you take a selfie with Vice President Kamala Harris if given the chance. Yes or No?,Oct-06,282,6.7K,99
Alandise Harris,If Vandy can beat #1 Alabama then Arkansas can beat #4 Tennessee,Oct-05,6,3.6K,168
Brian Eskow,I have nothing against Kamala Harris. All I care to say about her is that I never found her particularly inspiring. I just can’t vote for someone who was tagged in with three months to go before election day. Not when the world is on fire under her boss’s leadership. Not when the...,Oct-05,79,1.4K,5
Steve Hilton,Why won’t they let Kamala Harris do a press conference? Why won’t they let her do interviews? Do they think she’s incapable of answering real questions? Do they think she will reveal who she really is? It is totally unacceptable. How dare they undermine our democracy like this.,Oct-05,79,9.6K,805
Jeff Merkley,"While Kamala Harris is championing her Opportunity Economy—creating good jobs, investing in affordable housing, and lowering costs—Trump is out promoting a $100K Trump-branded watch. We need a President focused on our country’s interest, not his own self-interest.",Oct-04,37,2.4K,111
Jejune the Destroyer,"Trumpers can say, “Harris-Biden are impeding the recovery in NC to rig the election, but this vile scheme won’t stop armies of Trumpers from overwhelming the polls and delivering victory.” They should NOT say, “DJT will probably lose b/c Harris-Biden are impeding the recovery!”",Oct-05,18,786,11
Julie Donuts,In case you needed a reason to hate me. FUCK KAMALA HARRIS AND ALL HER FRIENDS. goodnight.,Oct-04,105,12K,1.5K
StartKyleOrton,The part where gervon Dexter just decided to become pre-injury Tommie Harris in the off-season is kinda rad,Oct-06,31,903,93
Jejune the Destroyer,It’s one thing if the goal of claiming those affected by the hurricane won’t be able to vote is to paint the Harris-Biden regime as cold and uncaring. It’s something else entirely if the goal is to demoralize Trumpers into thinking the race is already lost. It is NOT. WE WILL WIN,Oct-05,48,1.6K,114
Malcolm Harris,No war with Iran!,Oct-05,114,4.4K,77
Reagan Harris,Kasey Dunn play calling has the predictability of a 14-year on NCAA Football. It’s just so painfully bad,Oct-05,13,157,11
Kobie Thatcher,The only person who will be more upset than Kamala Harris if Trump wins the election is Zelensky.,Oct-05,9,2K,104
Ato Ackon Koomson,Let’s Do This I support Real Madrid and Portuga 🇵🇹 What About You? 《Elon Musk Bitcoin America Donald Trump Kamala Harris》,Oct-06,56,1.4K,49
Sarah,men not understanding the brilliance of kamala harris going on call her daddy is why they’re shitty political strategists. talking to thousands of republican-cusp white girl voters on the only type of podcast media they’ll consume rabidly? A+,Oct-05,4,1.2K,215
Meta,"For all the armchair critics out there micromanaging the Harris-Walz campaign, bear in mind Kamala Harris is the sitting Vice President and there is a national emergency taking place in an entire region and she must be present for all that this entails.",Oct-05,15,5.7K,384
Nurses Against Dick Pics.,"Friends, we are gonna win this thing. Essex County in VA is full of Harris/Walz signs. I saw a bunch of signs in King George’s county as well.",Oct-06,6,205,13
Ragnarok Lobster,Trump using Van Jones in an attack ad against Kamala Harris.,Oct-06,15,4.5K,122
Joe T,Dolphins are the Kamala Harris of football!,Oct-06,1,279,6
Reagan Reese,Alex Cooper said she prepared a version of her Call Her Daddy interview with Harris that discussed fracking but she ultimately decided to talk about abortion. Am I supposed to believe that?,Oct-06,12,11K,56
Philip Anderson,HOLY SHIT Elon Musk just took the stage at the Trump rally and it looks like he’s going to speak.,Oct-05,14,4.3K,333
Philip Anderson,Fuck Kamala Harris and everyone who supports her. Vote for Trump to save America. Vote for Trump to save us all.,Oct-06,42,6.8K,661
Taylor T. Harris,"When you refuse to call a spade a spade, people lose trust in you.",Oct-06,2,247,11
Hollie Harris,"When a wine says it has “hints of chocolate,” I always wonder why just a hint? Why not loads of it? No need to be subtle with me.",Oct-05,7,3.8K,137
Nancy,Harris’ husband listed as financiers for the lithium mining,Oct-05,4,754,64
Erin Koper,Harris campaign is knocking doors in Pittsburgh to registered Republicans asking: 1. Are you registered to vote 2. Do you know your polling location 3. Who are you voting for? They are knocking R’s because they are desperate along with the voter intimidation post cards they send,Oct-06,11,2.6K,164
Sahil Kapur,"60 Minutes posts a clip asking VP Harris if the US lacks influence over Netanyahu as he keeps defying this administration. HARRIS: “The work that we do diplomatically with the leadership of Israel is an ongoing pursuit around making clear our principles, which include the need...",Oct-06,19,30K,41
Beyond Blonde,I want to remind people that no matter how many votes VP Harris receives in this upcoming election unless we give her the House & Senate she is going in with her hands tied.,Oct-05,14,1.6K,119
Chris Harris,Let’s go @KU_Football let’s get that swag back tonight,Oct-05,3,4.9K,75
Matt Harris,"I don’t think after visiting new york I can continue to live in LA, having access to decent public transit got me fucked up",Oct-06,18,4.3K,148
QuoteDigger,BREAKING: President Barack Obama just announced he is leading a 27 day blitz across swing states to turn out the vote for Kamala Harris. Let’s go!,Oct-06,7,686,41
Leading Report,"BREAKING: It would be “historically unprecedented” if Kamala Harris wins the election, as only 28% of Americans believe the country is on the right track with one month remaining (via RealClearPolitics poll), CNN analyst Harry Enten said.",Oct-05,12,1.1M,6.7K
Evangelicals for Harris,True strength lies in kindness. Let’s make a difference in each other’s lives by choosing love and understanding today. 💛 #KindnessMatters #EvangelicalsForHarris,Oct-05,27,3.9K,191
Aes,"“How could Harris have won? I bet all my money on Trump on PolyMarket.” You see the problem with your statement, right?💀",Oct-06,9,3.2K,113
Sophia Cai,"“We reached out to former president Donald Trump to come on [Call Her Daddy],” Alex Cooper says at the top of her episode with Kamala Harris.",Oct-06,4,1.1K,31
Tom Cotton,I served with Kamala Harris on the Intelligence Committee for four years. She was just as reckless and naive about national security in private as she has been as vice president.,Oct-05,2.7K,1.2M,18.1K
Captain Obvious,"Hey, Elon Musk instead of being with Trump in Butler, PA spewing lies and misinformation, why don't you join Vice President Harris in Asheville, NC to help the hurricane victims?",Oct-05,28,639,185
Peter Schweizer,"""Days after Hurricane Helena, the Biden-Harris Administration finally activated up to 1,000 soldiers to support the delivery of food, water, and medicine to isolated communities. But these efforts are too little, too late. Compare this to the military's response after Hurricane [Show more]""",Oct-04,48,667,276
Steve,Donald Trump was impeached for withholding aid from Ukraine. Kamala Harris is currently withholding aid from victims of Hurricane Helene. Just going to leave this one right here.,Oct-04,3800,72000,15000
Candidly Tiff,My neighbor around the block put up a Harris Walz and an Angela Alsobrooks sign yesterday. Glad I am no longer the only loud and proud Dem in my neighborhood.,Oct-04,18,616,77
I'MYOURHUCKLEBERRY,"Michael Moore and anyone else who is complaining about VP Harris embracing Liz Cheney. Cheney could have sucked up to Trump and would still be in Republican leadership, but instead, she gave up her career to support our Democracy. This is what Democrats asked for. So stop it.",Oct-04,112,21000,388
#gaybaristapaulforpresident,genocide joe and holocaust harris just as guilty as netanyahu,Oct-06,7,139,52
Aes,"If Trump was truly winning this election, then he wouldn't need Israel to rig the election for him by attacking Iran. And it might not even work and Harris will still win.",Oct-06,4,114,12
Robin Carhart-Harris,"""The soul becomes dyed with the colour of its thoughts"" Marcus Aurelius.",Oct-06,6,167,21
Aes,"Nothing you can say on Twitter will change the outcome of a Trump or Harris win. This place is a political battleground. That's all it is now. Tweeting a bunch of lies, MAGA, changes no one's opinion on Trump.",Oct-06,7,120,18
Aes,"Recession probability has now been lowered to a 15% chance. Thanks, Kamala Harris. 👋",Oct-06,11,482,75
Jennifer flowersIFBAP,"Yemen Bombing Israel , Israel intercepts bombs over Tel Aviv. Massive Blast Heard in Beirut. The IDF are fighting Hamas, Hezbollah , Houthi now. God Bless Israel. The Biden / Harris weak MIA Administration. This is the most disgusting and disgraceful administration",Oct-02,2,14,6
Aven,"""Biden and Harris administration says FEMA does not have enough funds to make it through hurricane season."" Yet they sent BILLIONS to Ukraine and others? Harris is the ""America Last"" candidate. She hates us Americans.",Oct-02,1,5,2
Haitians for Harris,We don't agree with anything JD Vance is peddling & will not forgive him for the lie he put out about Haitian in Ohio. But we at least saw someone who talks within the lines of decency & decorum something Trump is incapable of doing which is why he should never be POTUS!,Oct-02,1,5,3
Shelby Harris,Way to start off the inning #brewers #brewcrew,Oct-02,-,4,-
Jennie.....NO DMs,"I have to ask, I heard Kamala Harris saying if you're out of power due to the hurricane go online and submit an application. If you're out of power and you have no cell service how are you going to apply online? Riddle me this Batman.",Oct-02,-,5,2
kamallot harris,"people love asking about the bulge in my pants, but what about the bulge in my chest? ❤️💔",Oct-02,1,4,-
Terry Harris,The Orioles man...,Oct-02,-,1,-
Scoota Harris,It's hilarious this man Travis Hunter was really killing on both sides against them swacc players knowing he shouldn't been there🤦🏾,Oct-02,-,3,-
LLH&R,so with only illegal votes how will Harris win?,Oct-02,1,4,-
CincyFlame,"This should anger every American, Rep, Dem and Ind. The US has sent Ukraine $61 BILLION dollars. VP Harris said today they would allocate $750.00 per person to help flood victims. That is outrageous and completely out of touch. Illegal Immigrants get more per month.",Oct-02,1,12,1
Sarah Harris,JACKSON CHOURIO🔥🔥🔥,Oct-02,-,1,1
Scoota Harris,This man AB really got Acht fast asf!,Oct-02,-,-,-
Kai,the voices are telling me i need to make a harris dickinson babygirl edit...,Oct-02,4,6,-
harris rosenberg,Bring on the royals !,Oct-02,-,-,-
John Kay,"Harris needs to be asked how $750.00 bucks helps a family who just lost their home, make her answer the question",Oct-02,-,5,4
Harris For the people,"If any of you have family or friends that are claims adjusters, pray for them. This hurricane has us so busy, I'm loving the extra money but the hours are so crazy. 😩",Oct-02,-,26,1
Cherokee Ron,"Nah i think the funniest anti Kamala commercial Trump has produced is the Transgendered one ""Kamala Harris is for They/Them not YOU"" LMFAOOOO",Oct-02,-,60,1
Vox Slug,Not my straight male ass commenting on the goth Boise State beach volleyball player's body!!!!!!!,Oct-02,1,2600,8
Christopher Harris,Come hang out with me and @_JimmyMcCormick live at 8 p.m. ET tonight (Wednesday). We'll chat with you and preview Week 5 in the NFL. Link is 👇,Oct-02,1,21000,3
WoodyTrucker.v2,"Actually, we're not. The DOJ has the tapes of these as dubbed ""freak offs"" Kamala Harris was a participant in these events, and as such, we will never see these tapes. We will not be given a single name. Yes, Diddy has a blabber mouth. That is why Diddy will be given a quick [Show more]",Oct-02,-,155,1
Philip Anderson,BREAKING: North Carolina Sheriffs say that they are ready to start arresting Kamala Harris's FEMA feds if they continue blocking rescue workers and pilots from saving lives and delivering critical aid. We should call the Sheriffs and ask them to deputize all of the rescue [Show more],Oct-04,4900,16100,45000
Brian Eskow,Who has been the most powerful endorsement for Harris? Trump seems to have all the juice.,Oct-05,117,415,17
Steven Harris #93,Proud of my Gator boys!!! 🐊🍊🔥,Oct-05,10,169,4
Pushing The Limits,Kamala Harris gets Marc Cuban Donald Trump gets Mike Lindell,Oct-05,13,224,26
Aes,"If Trump wins, I will accept the results. If Harris wins, I will accept the results. That used to be the minimum to be considered an American.",Oct-05,10,194,23
Aes,If Kamala Harris is the end of America according to Elon Musk.. I don't even want to know what Elon Musk's America looks like. He retweets enough psychos already for me to have a good guess..💀,Oct-05,9,110,23
Aes,"If Harris wins, it will prove that Twitter and Republican pollsters do not represent reality.",Oct-04,24,510,75
KneesPenguin2.0,"My sisters in Sconnie tell me that they have seen *several* Harris/Walz signs that have been, ahem, *modified* with spray paint so that they now read Harry/Balz. 🤔",Oct-06,2,20,3
The 🦁Opinionated🇺🇸 Lab,These Trump campaign ads showing Kamala Harris cackling idiotically about things are annoyingly effective.,Oct-06,3,15,1
Michael Fulmer,VOTE LIKE YOUR LIFE DEPENDS ON IT BECAUSE IT REALLY DOES! HARRIS/ WALZ 2024. 💙💙💙🇺🇸💙💙💙🇺🇸💙💙💙🇺🇸💙💙💙,Oct-06,1,24,6
Darin Gantt,"Now DJ Johnson is hurt, sitting in the end zone. They're down to Charles Harris, Tarron Jackson, and Thomas Incoom at the position.",Oct-06,4,30,7
Andrew Pollack,Kamala Harris does not deserve a single vote with how the administration has responded to Hurricane Helena. Disgusting.,Oct-04,23,1000,214
#gaybaristapaulforpresident,harris and trump are not worth losing friends if you playing that game you're a fucking idiot,Oct-06,-,20,7
Brendan Duke,Harris's discussion of abortion rights on Call Her Daddy was the single best criticism of state abortion bans I've ever heard. Both sharp intellectually and searing emotionally.,Oct-06,3,574,119
JustAmanda,I can't wait until Kamala Harris is Maga's president.,Oct-06,2,25,2
Julie,Can you Imagine a more nauseating and annoying thing to watch than Kamala Harris on The View?  I think she will be on tomorrow if you want to tune in.. not me. I'm out.,Oct-06,30,58,1
888 Good Troubles,Trump can't stop talking about Harris's IQ but she beat him like a Springfield dog at the debate. Trump is still saying that the 2020 election was stolen. Trump was president but sleepy Joe was able to steal the election from him from his basement? Trump is dumb and weak.,Oct-06,8,160,29
R.S. Locke / Royal Suitor,"Trying to divorce someone from their Black heritage to mask the racist abuse they're subjected to as objective criticism isn't new. They did it to Meghan Markle, Pres. Obama, & now VP Kamala Harris among others. It's even worse when Black people are used as disinformation tools.",Oct-05,-,1000,248
Laura Chapin,"Because Trump overturned Roe women are dying & bleeding out from miscarriages & @mitchellreports complained on @MeetThePress this morning that Kamala Harris isn't doing enough to appeal to men. This is what institutional sexism in the media looks like, including from other women.",Oct-06,3,174,70
VP Kamala Mamba Harris,"Don't tell me what you would do, you gotta show me",Oct-06,1,3,1
Bob Harris,Catch @MattParrino @Demetrius82 @JConnSports & @mike_e_kaye w @SiriusXMFantasy Pregame #Bills #Jaguars #Ravens #Panthers,Oct-06,-,4,2
Dr. Brandon Presley Fan,I have an unsettling gut feeling that NC will surprise us like 2020 GA and narrowly flip to Harris. Help me out here. 🫣,Oct-06,3,19,-
Brick,It's disheartening to think so many people will vote for a Marxist idiot like Harris.... America is getting dumber by the day.,Oct-06,-,10,4
Ayesha,"🌎 Trending News Updates 🚀 - US Politics : The vice-presidential debate between JD Vance and Tim Walz captured national attention, potentially influencing the tight presidential race between Donald Trump and Kamala Harris. - Entertainment : Lady Gaga and Michael Polansky made [Show more]",Oct-05,126,101,5
Evangelicals For Harris,"Free lunches for all students aren't just about food—they're about opportunity. When kids are well-nourished, they're more likely to excel in the classroom and reach their full potential. Let's make sure every student gets this vital support! #FreeLunches #EqualOpportunity",Oct-06,18,281,68
Gina,"Trump wants to drain the swamp. Harris wants to drain our money, dreams and freedom.",Oct-04,4,66,21
Jesse Ferguson,"DATA: Kamala Harris needs to reach people who are lower information & less involved in politics PUNDITS: Why isn't she doing that? HARRIS: Let's go on the largest audiences of real people (The View, Howard Stern, 60 Minutes, Call Her Daddy, Colbert) PUNDITS: More Sunday shows!",Oct-06,37,2800,431
Philip Anderson,Want to see a magic trick? Get out your phone and record FEMA every time they stop you from saving lives or delivering critical aid. While you are recording start yelling that Kamala Harris is murdering children. Post all the videos online. Watch how quickly things change.,Oct-04,9,362,135
Jon Harris,We're gonna need people who spent their whole lives voting on the Left and now see themselves on the Right to stop being thought leaders until we can figure out what's going on.,Oct-05,18,380,23
Boston Mom,People I protested with on the Boston Common against the Iraq war are literally cheering on Liz Cheney endorsing Harris. The upside down world continues.,Oct-04,19,297,18
Aes,"Harris knew the time was right, she stepped up to the plate to run for president against all odds against her. She could have denied running, but instead she faced it head on and obliterated Trump in a debate. Win or lose this election, she won my total respect for life.",Oct-06,25,280,49
Larry,"Today, the U.S. sent $157 million to Lebanon, but FEMA is running out of money to help American families after they spent $1.4 billion on illegals. Come November, don't forget that Joe Biden, Kamala Harris, and Alejandro Mayorkas are to blame. They have all put America last!",Oct-04,44,504,251
Aes,Don't be afraid to show your support for Harris. Donald Trump can go fuck himself.,Oct-06,85,2600,477
Jack Cocchiarella,Politicians should be doing interviews to reach voters not satisfying egomaniacal journalists. Kamala Harris is focused on reaching people not appeasing media elites.,Oct-06,12,567,90
Aes,You want a soft landing on the economy? Vote Harris.,Oct-04,14,356,52
Aes,"I'm not buying what MAGA is selling. I'll be voting Harris, you should as well.",Oct-05,26,682,118
Chris Kleyn,"Updated betting odds for Trump to win: @Polymarket PA, AZ, GA & NC (Chance of winning) PENNSYLVANIA Trump: 56% | Harris: 44% ARIZONA Trump: 63% | Harris: 37% GEORGIA Trump: 63% | Harris: 37% NORTH CAROLINA Trump: 61% | Harris: 39% Show more",Oct-06,5,54,53
Aes,"If Donald Trump is smarter than Kamala Harris, then why did he get his ass handed to him in a presidential debate by her?",Oct-06,10,259,23
Aes,Harris to be on The View on Tuesday.,Oct-06,9,138,21
Aes,"If you were to tell me a year ago that Kamala Harris was the Democratic nominee in 2024, I would have said.. Of course, there's a reason Biden picked her.",Oct-04,4,133,27
Philip Anderson,Kamala Harris is murdering the hurricane victims in North Carolina and Georgia. Kamala Harris is murdering the hurricane victims in North Carolina and Georgia. Kamala Harris is murdering the hurricane victims in North Carolina and Georgia.,Oct-04,9,71,24
Aes,30 days out from the election. Who wins the election? I predict Harris.,Oct-05,69,763,60
Aes,"""Kamala Harris will be the end of America."" -MAGA Bitch, you barely knew who she even was 3 months ago.",Oct-05,8,258,42
Philip Anderson,BREAKING: Hurricane victims in North Carolina that were rescued by Trump supporters have had to sleep outside because Kamala Harris's federal employees are taking up all the hotel rooms. Kamala Harris ordered FEMA and the feds to do nothing while countless people die.,Oct-04,19,664,370
@AltYellowstoneNatPar,Harris is ahead in every poll on 538 today Every single one Retweet it,Oct-05,4,208,74
James Harris,"We're not perfect, it might not work out long term, we might even find a way to not win this game... but at times like this you've got to feel so grateful we get to watch an Ange Postecoglou team every week instead of a Conte or Mourinho one.",Oct-06,69,612,99
PollFair,Chance of victory in the battleground states: Arizona - Trump 68% Harris 32% North Carolina - Trump 68% Harris 32% Georgia - Trump 63% Harris 37% Wisconsin - Trump 58% Harris 42% ... Show more,Oct-05,7,140,22
Gator Gar,"""Kamala Harris: She's not the best, but she's the best we could come up with on such short notice."" -DNC 2024",Oct-05,43,533,54
